id,nb_patents
1974,2
3388,165
4347,60
4452,51
4969,140
12474,176
13122,48
14806,6
15150,71
15789,9
20333,16
20397,6
20425,6
20539,6
20852,275
25150,40
26507,21
28084,30
29517,217
30278,3
30708,261
32660,22
73028,27
73029,16
73598,188
74165,14
74402,9
74590,18
74919,3
75070,73
79363,119
79546,4
79741,2
79975,2
80504,36
102427,2
116338,6
123212,12
128063,1
131666,1
144370,5
146224,5
149076,2
156180,7
161956,2
168698,5
172629,3
175336,15
176402,16
198921,9
205636,74
209726,45
210185,1
211335,13
212924,237
213056,363
213425,180
213699,2
214014,58
214127,657
214978,34
215312,18
215379,78
215537,11
215720,29
219699,2
232627,13
232939,1
236178,13
394802,9
674072,10
684226,14
863452,67
864003,95
864286,42
864349,12
864948,26
865309,3
865548,5
865638,37
867275,9
867641,1
868578,1
868952,43
869196,5
869272,4
869601,2
870800,14
871265,2
871270,73
881334,22
882193,3
882220,17
882954,91
883352,36
883391,2
883577,36
884336,3
884438,15
884528,8
885328,1
885404,7
885585,4
885971,8
886347,32
886361,73
887072,1
887078,21
888631,1
889727,11
890682,2
890893,25
890958,4
890969,4
891149,22
891252,2
891398,4
891399,16
891407,2
891861,6
892030,19
892054,9
892057,3
892388,2
892840,1
892846,4
892854,4
892999,1085
893871,30
893908,2
894141,30
894785,2
894802,3
894818,21
894824,2
894828,1
894830,19
894835,3
894836,1
894847,5
894869,9
894885,11
894887,8
894900,6
894908,2
898848,2
899026,7
899144,41
899164,19
899235,2
899474,3
899523,15
899543,10
899642,2
899753,8
899850,9
899876,3
901183,305
901184,10
904503,7
904636,55
907156,1
907487,64
908243,12
908267,4
910589,89
910929,10
912505,2
912521,9
912952,5
915046,95
915048,4
915273,3
916819,42
917509,2
917998,5
918000,8
918287,1
918323,18
922504,3
922801,5
923252,44
923728,11
924272,16
924274,117
924529,5
924782,31
924964,7
924977,5
925236,9
926396,10
926482,152
926513,73
926525,10
926526,5
926534,9
926638,2
926835,6
927184,6
927322,11
929365,26
929369,3
929684,2
932476,13
933391,1
934437,23
934623,10
945678,9
945964,2
948972,3
949075,11
949105,6
951687,7
951765,2
951770,25
954481,3
956086,12
957748,8
957900,8
958928,2
959416,4
962227,9
962228,3
962941,48
964378,3
965221,2
968565,5
968993,57
969002,1
969057,5
969067,6
969347,3
969375,1
969382,1
969453,18
969520,3
969633,6
969710,116
970154,13
970155,43
970186,6
970399,2
970587,38
970783,23
970844,6
970939,6
971295,64
971453,2
971537,12
972999,123
973446,1
982963,13
983166,27
983349,36
1207707,6
1248562,3
1248590,2
1248613,2
1248623,3
1248626,2
1249032,10
1249120,1
1249169,10
1249379,3
1249456,54
1281351,96
1298469,81
1336864,7
1434841,2
1447840,5
1447938,11
1447945,1
1447986,4
1448001,4
1448018,17
1448086,2
1448132,2
1448149,3
1448366,5
1450040,2
1450545,6
1453384,101
1453517,3
1458386,1
1463283,18
1463689,8
1464696,25
1464703,1
1464724,24
1465700,4
1466655,65
1466670,19
1467977,17
1468106,7
1470670,7
1470706,3
1470794,2
1477385,10
1477390,3
1477530,21
1477626,8
1477667,3
1477870,1
1478161,26
1478497,6
1478669,1
1478739,2
1478769,5
1478971,25
1479027,5
1479192,29
1479284,71
1479338,13
1479403,3
1479807,3
1480007,37
1480423,2
1480664,4
1480877,34
1480999,6
1481009,73
1481072,2
1481199,2
1481211,2
1481313,24
1481372,1
1481524,1
1481638,67
1481650,2
1481883,8
1482074,11
1482312,9
1482674,1
1482710,5
1482975,9
1483192,1
1483348,61
1483377,31
1483405,11
1483439,11
1483464,1
1483519,16
1483629,11
1483742,6
1483759,29
1483760,2
1483767,3
1483772,14
1483829,4
1483887,59
1484157,3
1518870,1
1528826,3
1534416,15
1534514,2
1534537,53
1534628,1
1570451,2
1598607,84
1617050,12
1618873,3
1659870,2
1660138,8
1660158,2
1660172,5
1660461,2
1660517,3
1660559,2
1660604,13
1662881,2
1663006,2
1671952,39
1671955,4
1678088,4
1678719,3
1682029,1
1682111,5
1683359,4
1683410,20
1683444,3
1683450,15
1683491,1
1683507,32
1684438,6
1684469,7
1707809,31
1708152,13
1715788,11
1716372,2
1718532,14
1726338,140
1742553,19
1742608,3
1742618,3
1742642,12
1742705,4
1742711,14
1742805,3
1742837,16
1742907,11
1742908,11
1742971,1
1743249,1
1743314,7
1743343,4
1743410,4
1743414,5
1743435,4
1743502,24
1743523,2
1743539,3
1747897,1
1747967,3
1748046,4
1748047,11
1748062,12
1748067,6
1748072,77
1748076,7
1748129,13
1748975,22
1748987,2
1749023,3
1749081,2
1749122,9
1749143,1
1749261,6
1749463,3
1757625,22
1761796,1
1765271,9
1767945,1
1767968,4
1768694,12
1768749,4
1768811,8
1770410,28
1811723,3
1811901,3
1817066,3
1817197,1
1817344,11
1822366,2
1832469,20
1832864,1
1832878,3
1832966,14
1832967,6
1834213,6
1834217,23
1834411,2
1834502,33
1834666,2
1834691,7
1834821,3
1836415,3
1836863,6
1836936,9
1842349,2
1843114,11
1843318,6
1844427,2
1844727,7
1862064,11
1891154,1
1891169,8
1891959,9
1892616,7
1919211,5
1925544,4
1986174,8
1987281,8
1987283,6
