,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
0,Healthcardionexion.com,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
1,4P Pharma,0,38994.8,0,0,3.0,1,-0.0871024552298689,-0.07457226671598442,0.020629405822745788,-0.04529611125900731
2,AFYREN,1,777777.7777777778,0,0,2.0,1,1.753060819647884,-0.6292457252777884,0.33176257248053376,-0.2717482588348233
3,Abbelight,1,183333.33333333334,0,0,2.0,1,0.7372784775416413,-0.5659385485675723,0.7019157916564241,-0.042925324099587235
4,AblaCare,0,2000000.0,0,0,1.0,1,-0.10167771697779943,-0.21758769225268942,0.012852614927664527,-0.01886194497246895
5,Acklio,0,99999.95,0,0,2.0,1,-0.05572676178457808,-0.05714936804579372,-0.3939065308830036,0.7213311597272006
6,Actronika,0,157667.1875,0,0,2.0,1,0.11284461258925332,0.6893410908330578,-0.07235131131760761,0.7993525652632405
7,Acubens,0,25000.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
8,Addidream,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
9,AddUp,0,0.0,0,0,3.0,1,-0.17721802116092933,-0.11708644873463202,-0.12504041843652888,-0.13463419215202632
10,AddUp,0,0.0,0,0,3.0,1,-0.17721802116092933,-0.11708644873463202,-0.12504041843652888,-0.13463419215202632
11,Adionics,0,266666.6666666667,0,0,2.0,1,0.48843265156238697,-0.22095383947587136,-0.19423299607608,-0.25397719498779564
12,Acs Biotech,0,443333.3333333333,0,0,1.0,1,0.056886210043513706,-0.3604542760616599,0.7909140843184284,0.13469699070591304
13,Aenitis,0,496967.4375,0,0,2.0,1,-0.03308542130507928,-0.5011416647823639,0.7422876023948889,0.19690791046077938
14,AFULudine,1,133333.33333333334,0,0,1.0,1,-0.16964993618879337,-0.11900655086400075,-0.13136945639184383,-0.12652649204184413
15,AgenT,0,2488.5698324022346,0,0,3.0,1,0.0032155287026325967,-0.48759494208472276,0.8103318163529083,0.18329105152925435
16,APSI 3D,0,750000.0,0,0,1.0,1,-0.16921285172923078,-0.11855648970716441,-0.12760323168708795,-0.1354909670866122
17,Air-Serenity,0,97106.0,0,0,1.0,1,-0.12551349777841175,-0.17286805186324683,-0.035645250435399754,-0.07942408382451444
18,Air-Lynx,0,107142.85714285714,0,0,2.0,1,-0.004500844560375825,0.4605869113809714,-0.05258908044015817,0.149310246142314
19,AirMems,0,0.0,0,0,1.0,1,-0.18043011603858522,-0.12595572606609803,-0.1479001515750573,-0.12568570207305174
20,Airthium,0,13636.25,0,0,1.0,1,1.2458736288175902,-0.2794891059883337,-0.33923258200462675,-0.3909386891215216
21,Ajelis,0,0.0,0,0,1.0,1,-0.15531399248660477,-0.12819899687811825,-0.14045592349530617,-0.1524886351273321
22,Akheros,0,0.0,0,0,1.0,1,-0.05813736756063411,-0.05762865102480259,-0.39952404266883024,0.7289023425091171
23,Akryvia,0,150000.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
24,Aledia,1,939671.1702127659,0,0,3.0,1,-0.1718278691155083,-0.12040897725708628,-0.1300593310871379,-0.1389087014809378
